genus	freq_nonzero_c1	sign_consistency_c1	freq_nonzero_c2	sign_consistency_c2	freq_nonzero_c3	sign_consistency_c3	cross_cohort_sign_consistent	bh_qvalue
Brigitvirus	29	0.0	0		0			0.0
Romboutsia	11	0.182	38	0.0	30	0.0	True	0.0
Subdoligranulum	0		28	1.0	0			0.0
Kingevirus	0		40	0.0	0			0.0
Barnesiella	11	0.636	33	0.0	39	0.0	True	0.0
Prevotella	39	1.0	0		26	1.0	True	0.0
Citrobacter	0		36	0.0	38	0.0	True	0.0
Fusobacterium	0		40	1.0	0			0.0
Pusillibacter	0		40	0.0	0			0.0
Cloacibacillus	0		0		31	1.0		0.0
Cohcovirus	10	1.0	34	1.0	0			0.0
Corynebacterium	11	0.091	40	0.0	0			0.0
Actinomyces	39	0.0	1	1.0	31	0.0	True	0.0
Aggregatibacter	0		39	1.0	0			0.0
Afonbuvirus	0		0		39	0.0		0.0
Birpovirus	35	1.0	0		0			0.0
Bifidobacterium	0		0		35	1.0		0.0
Porphyromonas	35	0.0	39	0.0	0		True	0.0
Acutalibacter	37	0.0	0		0			0.0
Sodaliphilus	0		33	0.0	0			0.0
Butyricimonas	21	0.143	39	1.0	33	1.0	False	0.0
Paenibacillus	10	0.5	37	1.0	18	0.944	True	0.0
Massilistercora	0		0		39	1.0		0.0
Megamonas	0		37	0.0	0			0.0
Faecalitalea	0		0		39	1.0		0.0
Carjivirus	39	0.0	36	0.0	23	0.261	True	0.0
Gordonibacter	2	1.0	26	0.962	14	0.857	True	0.0
Paraprevotella	39	0.0	18	0.0	38	0.0	True	0.0
Ligilactobacillus	38	1.0	17	0.412	27	1.0		0.0
Catenibacterium	39	0.0	37	0.0	1	0.0	True	0.0
Hoylesella	0		40	1.0	0			0.0
Enterococcus	0		40	1.0	0			0.0
Enterobacter	39	1.0	13	0.385	16	1.0	True	0.0
Streptomyces	22	0.0	40	0.0	4	0.0	True	0.0
Schaalia	39	0.0	0		15	0.2	True	0.0
Treponema	32	1.0	0		0			0.0
Anaerocolumna	0		36	0.0	0			0.0
Lacrimispora	12	0.75	37	1.0	39	1.0	True	0.0
Eggerthella	0		40	1.0	32	1.0	True	0.0
Sellimonas	39	1.0	29	1.0	32	1.0	True	0.0
Aurodevirus	34	0.0	0		0			0.0
Novisyntrophococcus	39	1.0	0		0			0.0
Turicibacter	39	0.0	10	0.3	0			0.0
Muribaculum	0		27	1.0	0			1e-06
Wujia	39	1.0	40	1.0	26	0.0	False	1.4e-05
Maliibacterium	23	0.043	0		0			0.00035
Odoribacter	17	0.765	10	0.0	34	1.0		0.001627
Collinsella	37	0.0	22	1.0	23	0.0	False	0.001894
Oscillibacter	0		0		20	0.05		0.002299
Butyrivibrio	0		0		15	0.0		0.003434
Desulfovibrio	38	1.0	34	1.0	33	0.03	False	0.004307
Acidaminococcus	11	0.0	0		39	1.0		0.00488
Adlercreutzia	15	0.2	20	0.85	39	0.0		0.005102
Rothia	9	0.111	32	1.0	0			0.005846
Veillonella	39	0.0	39	0.0	37	1.0	False	0.008466
Blohavirus	39	1.0	34	0.0	34	1.0	False	0.010367
Escherichia	39	1.0	36	0.0	36	1.0	False	0.013414
Solibaculum	39	1.0	39	0.0	39	1.0	False	0.018889
Qiania	38	0.0	40	0.0	39	1.0	False	0.018889
Faecalibacillus	39	1.0	40	0.0	39	1.0	False	0.028031
Staphylococcus	37	1.0	14	0.0	0			0.081586
Oxalobacter	12	1.0	8	0.625	0			0.116913
Campylobacter	33	1.0	38	1.0	39	0.0	False	0.131436
Pseudomonas	4	0.75	34	0.0	11	1.0		0.167095
Dialister	7	0.429	28	0.107	7	0.857	False	0.342576
Akkermansia	39	0.0	40	1.0	29	0.966	False	0.386062
Paradesulfovibrio	0		0		0			1.0
Pankowvirus	0		0		0			1.0
Pannonibacter	0		0		0			1.0
Pantoea	0		0		0			1.0
Parabacteroides	0		0		0			1.0
Paraburkholderia	0		0		0			1.0
Parachlamydia	0		0		0			1.0
Panjvirus	0		0		0			1.0
Paraclostridium	0		0		0			1.0
Paracoccus	0		0		0			1.0
Paraconexibacter	0		0		0			1.0
Paracrocinitomix	0		0		0			1.0
Paracholeplasma	0		0		0			1.0
Octadecabacter	0		0		0			1.0
Pandoravirus	0		0		0			1.0
Pandoraea	0		0		0			1.0
Pajaroellobacter	0		0		0			1.0
Pakpunavirus	0		0		0			1.0
Novibacillus	0		0		0			1.0
Palaemonvirus	0		0		0			1.0
Palaeococcus	0		0		0			1.0
Novacetimonas	0		0		0			1.0
Paludibacter	0		0		0			1.0
Paludibacterium	0		0		0			1.0
Paludibaculum	0		0		0			1.0
Paludisphaera	0		0		0			1.0
Nostoc	0		0		0			1.0
Pamirivirus	0		0		0			1.0
Panacibacter	0		0		0			1.0
Nosocomiicoccus	0		0		0			1.0
Nordella	0		0		0			1.0
Paradevosia	0		0		0			1.0
Nonomuraea	0		0		0			1.0
Nonlabens	0		0		0			1.0
Paraflavitalea	0		0		0			1.0
Parasedimentitalea	0		0		0			1.0
Nocardiopsis	0		0		0			1.0
Parashewanella	0		0		0			1.0
Parasphingopyxis	0		0		0			1.0
Parasphingorhabdus	0		0		0			1.0
Nocardioides	0		0		0			1.0
Parascardovia	0		0		0			1.0
Parasynechococcus	0		0		0			1.0
Parazoarcus	0		0		0			1.0
Paremcibacter	0		0		0			1.0
Parlovirus	0		0		0			1.0
Paroceanicella	0		0		0			1.0
Parolsenella	0		0		0			1.0
Parvibaculum	0		0		0			1.0
Paraurantiacibacter	0		0		0			1.0
Parafannyhessea	0		0		0			1.0
Parasaccharibacter	0		0		0			1.0
Pararhizobium	0		0		0			1.0
Pahsextavirus	0		0		0			1.0
Parageobacillus	0		0		0			1.0
Nonagvirus	0		0		0			1.0
Paraglaciecola	0		0		0			1.0
Nodularia	0		0		0			1.0
Paralcaligenes	0		0		0			1.0
Pararhodospirillum	0		0		0			1.0
Paraliobacillus	0		0		0			1.0
Paraneptunicella	0		0		0			1.0
Paraoerskovia	0		0		0			1.0
Paraphotobacterium	0		0		0			1.0
Parapoxvirus	0		0		0			1.0
Nodensvirus	0		0		0			1.0
Nochtlivirus	0		0		0			1.0
Paralysiella	0		0		0			1.0
Pahexavirus	0		0		0			1.0
Paeniglutamicibacter	0		0		0			1.0
Paenisporosarcina	0		0		0			1.0
Oceanirhabdus	0		0		0			1.0
Oceanimonas	0		0		0			1.0
Orbivirus	0		0		0			1.0
Oricola	0		0		0			1.0
Orientia	0		0		0			1.0
Ornithinimicrobium	0		0		0			1.0
Oceanisphaera	0		0		0			1.0
Ornithobacterium	0		0		0			1.0
Orthoavulavirus	0		0		0			1.0
Orthobornavirus	0		0		0			1.0
Orthobunyavirus	0		0		0			1.0
Orthoflavivirus	0		0		0			1.0
Orthohantavirus	0		0		0			1.0
Oceanihabitans	0		0		0			1.0
Orrella	0		0		0			1.0
Oceanidesulfovibrio	0		0		0			1.0
Opitutus	0		0		0			1.0
Oceanispirochaeta	0		0		0			1.0
Oceanotoga	0		0		0			1.0
Oecophyllibacter	0		0		0			1.0
Oengusvirus	0		0		0			1.0
Oenococcus	0		0		0			1.0
Oerskovia	0		0		0			1.0
Oleidesulfovibrio	0		0		0			1.0
Oneupvirus	0		0		0			1.0
Oleiphilus	0		0		0			1.0
Olivibacter	0		0		0			1.0
Oceanobacillus	0		0		0			1.0
Olleya	0		0		0			1.0
Olsenella	0		0		0			1.0
Omegavirus	0		0		0			1.0
Oceanithermus	0		0		0			1.0
Oligella	0		0		0			1.0
Oceanicola	0		0		0			1.0
Orthohepadnavirus	0		0		0			1.0
Orthonairovirus	0		0		0			1.0
Pacificitalea	0		0		0			1.0
Pacinivirus	0		0		0			1.0
Pacuvirus	0		0		0			1.0
Paenalcaligenes	0		0		0			1.0
Obesumbacterium	0		0		0			1.0
Nymphadoravirus	0		0		0			1.0
Pacehavirus	0		0		0			1.0
