run_accession	Acidobacteriota	Actinomycetota	Aquificota	Armatimonadota	Artverviricota	Atribacterota	Bacillota	Bacteroidota	Balneolota	Bdellovibrionota	Caldisericota	Calditrichota	Campylobacterota	Candidatus	Chlamydiota	Chlorobiota	Chloroflexota	Chrysiogenota	Coprothermobacterota	Cossaviricota	Cressdnaviricota	Cyanobacteriota	Deferribacterota	Deinococcota	Dictyoglomota	Dividoviricota	Duplornaviricota	Elusimicrobiota	Euryarchaeota	Fibrobacterota	Fusobacteriota	Gemmatimonadota	Heterolobosea	Hofneiviricota	Ignavibacteriota	Kiritimatiellota	Kitrinoviricota	Lenarviricota	Lentisphaerota	Mycoplasmatota	Myxococcota	Nanoarchaeota	Negarnaviricota	Nitrososphaerota	Nitrospinota	Nitrospirota	Nucleocytoviricota	Peploviricota	Phixviricota	Pisuviricota	Planctomycetota	Preplasmiviricota	Pseudomonadota	Rhodothermota	Saleviricota	Spirochaetota	Streptophyta	Synergistota	Taleaviricota	Thermodesulfobacteriota	Thermomicrobiota	Thermoproteota	Thermotogota	Uroviricota	Verrucomicrobiota
SRR11413606	-1.4574044535181265	13.085655194815095	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	15.15416724392113	16.052967655088526	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	8.446133097768042	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	10.69738016076854	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	8.851581539903956	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	-1.4574044535181265	12.24157341178507
SRR11413607	-2.3354263857298125	9.35982896933298	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	14.190132442532942	14.967765044356444	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	7.568111165556356	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	6.875013981246703	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	8.82083842091393	-2.3354263857298125	6.875013981246703	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	13.710098679920547	-2.3354263857298125	-2.3354263857298125	6.875013981246703	-2.3354263857298125	6.875013981246703	-2.3354263857298125	6.875013981246703	-2.3354263857298125	-2.3354263857298125	-2.3354263857298125	9.272818349912509	9.177509079190415
SRR11413608	-2.258939174696545	12.363047695563148	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	14.60726526222177	14.536174325704843	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	6.95150119227997	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	6.95150119227997	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	9.947138470821129	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	-2.258939174696545	6.95150119227997	-2.258939174696545	10.417140225074482	-2.258939174696545	-2.258939174696545	6.95150119227997	-2.258939174696545	-2.258939174696545	-2.258939174696545	9.784620423671493	-2.258939174696545	-2.258939174696545	-2.258939174696545	10.477764663067944	9.784620423671493
SRR11413609	-1.821055668184698	11.623392657663056	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	13.667806315574571	16.302969541970295	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	7.389384698791817	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	9.181060839547317	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	12.217599241093465	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	-1.821055668184698	8.08248188310147	-1.821055668184698	-1.821055668184698	-1.821055668184698	10.22250393018334	13.291918310416857
SRR11413610	-2.482372263745063	12.810187246918042	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	14.00452458010612	14.03851833361046	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	7.826613729677019	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	6.728068103231452	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	6.728068103231452	-2.482372263745063	6.728068103231452	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	7.421165287541106	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	-2.482372263745063	6.728068103231452	-2.482372263745063	10.932662220158285	-2.482372263745063	-2.482372263745063	6.728068103231452	-2.482372263745063	-2.482372263745063	-2.482372263745063	7.421165287541106	-2.482372263745063	-2.482372263745063	-2.482372263745063	9.292925157970762	9.212883091317732
SRR11413611	-1.910287243356322	9.939117601066751	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	14.50047809619168	15.279049533732282	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	7.300153123620193	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	7.300153123620193	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	12.393803942923366	-1.910287243356322	-1.910287243356322	-1.910287243356322	-1.910287243356322	7.300153123620193	-1.910287243356322	9.379507170221572	-1.910287243356322	-1.910287243356322	-1.910287243356322	10.295790402161352	11.377592267439397
SRR11413612	-1.506433356989401	12.734345589973774	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	14.46663663752559	16.430712639650846	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	10.881965011992714	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	-1.506433356989401	7.704007009987114	-1.506433356989401	-1.506433356989401	-1.506433356989401	12.99721234222371	12.15825547403031
SRR11413613	-2.081037278265782	12.481161701120003	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	14.87473874725609	15.400339985085346	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	8.515622454517796	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	10.595042121505244	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	12.549838535460465	-2.081037278265782	-2.081037278265782	-2.081037278265782	-2.081037278265782	10.740223709053675	-2.081037278265782	7.129403088710733	-2.081037278265782	-2.081037278265782	-2.081037278265782	8.921079229466233	13.249600732441547
SRR11413614	-1.7684141903690431	10.332303495043428	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	14.252068741975853	15.535693970081896	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	7.442026176607472	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	7.442026176607472	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	13.498710429027774	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	7.442026176607472	-1.7684141903690431	-1.7684141903690431	-1.7684141903690431	10.66080600646734	12.425533488246748
SRR11413615	-2.032790980285464	11.559577276363818	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	14.373486693128804	15.567136481223919	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	7.177649386691051	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	7.177649386691051	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	-2.032790980285464	13.345066092222643	-2.032790980285464	-2.032790980285464	7.177649386691051	-2.032790980285464	7.177649386691051	-2.032790980285464	9.374785080076322	-2.032790980285464	-2.032790980285464	-2.032790980285464	8.276195013136618	8.563868752498115
