genus	n_cohorts	cohorts	pooled_effect	SE	ci_lo_95	ci_hi_95	tau2	I2	Q	Q_p	z_stat	p_raw	direction_consistent	direction	q_value	fdr_sig
Eggerthella	2	cohort2,cohort3	0.110243	0.031354	0.048789	0.171697	0.001932	98.2	57.0803	0.0	3.5161	0.000438	True	R+	0.026718	True
Ligilactobacillus	3	cohort1,cohort2,cohort3	0.081051	0.030841	0.020603	0.141499	0.00272	99.0	194.6313	0.0	2.628	0.008588	True	R+	0.261934	False
Gordonibacter	3	cohort1,cohort2,cohort3	0.009193	0.004039	0.001277	0.017109	3.9e-05	81.2	10.6289	0.0049	2.2761	0.022839	True	R+	0.316926	False
Citrobacter	2	cohort2,cohort3	-0.084173	0.037623	-0.157914	-0.010433	0.002811	99.3	141.508	0.0	-2.2373	0.025266	True	NR+	0.316926	False
Sellimonas	3	cohort1,cohort2,cohort3	0.072488	0.033431	0.006964	0.138012	0.003332	99.4	333.192	0.0	2.1683	0.030136	True	R+	0.316926	False
Porphyromonas	2	cohort1,cohort2	-0.167334	0.077654	-0.319535	-0.015132	0.011948	99.1	107.037	0.0	-2.1549	0.031173	True	NR+	0.316926	False
Catenibacterium	3	cohort1,cohort2,cohort3	-0.100026	0.049326	-0.196705	-0.003346	0.007255	99.7	672.2537	0.0	-2.0278	0.042576	True	NR+	0.371019	False
Romboutsia	3	cohort1,cohort2,cohort3	-0.033304	0.017468	-0.067541	0.000934	0.000903	98.8	161.1387	0.0	-1.9065	0.056582	True	NR+	0.403118	False
Lacrimispora	3	cohort1,cohort2,cohort3	0.061542	0.032988	-0.003115	0.126198	0.003246	99.5	383.9809	0.0	1.8656	0.062101	True	R+	0.403118	False
Paraprevotella	3	cohort1,cohort2,cohort3	-0.123281	0.068841	-0.258209	0.011647	0.014192	99.9	1411.9476	0.0	-1.7908	0.073322	True	NR+	0.403118	False
Carjivirus	3	cohort1,cohort2,cohort3	-0.073	0.041234	-0.153819	0.007819	0.005081	99.6	528.084	0.0	-1.7704	0.076666	True	NR+	0.403118	False
Paenibacillus	3	cohort1,cohort2,cohort3	0.020509	0.011688	-0.002399	0.043418	0.0004	97.7	87.0348	0.0	1.7547	0.079302	True	R+	0.403118	False
Wujia	3	cohort1,cohort2,cohort3	0.119358	0.074798	-0.027247	0.265962	0.016765	99.9	1719.4115	0.0	1.5957	0.110549	False	R+	0.503608	False
Streptomyces	3	cohort1,cohort2,cohort3	-0.041231	0.02631	-0.092799	0.010337	0.002063	99.4	311.472	0.0	-1.5671	0.117093	True	NR+	0.503608	False
Actinomyces	3	cohort1,cohort2,cohort3	-0.05994	0.038951	-0.136284	0.016404	0.004525	99.6	485.7359	0.0	-1.5389	0.123838	False	NR+	0.503608	False
Barnesiella	3	cohort1,cohort2,cohort3	-0.082886	0.05824	-0.197035	0.031264	0.010153	99.8	1030.8136	0.0	-1.4232	0.154683	False	NR+	0.589729	False
Prevotella	2	cohort1,cohort3	0.098934	0.073073	-0.04429	0.242157	0.010657	99.8	481.5557	0.0	1.3539	0.175768	True	R+	0.630697	False
Dialister	3	cohort1,cohort2,cohort3	-0.005594	0.004293	-0.014008	0.00282	4.8e-05	91.8	24.5398	0.0	-1.303	0.192563	False	NR+	0.645072	False
Butyricimonas	3	cohort1,cohort2,cohort3	0.043115	0.03408	-0.023683	0.109912	0.003465	99.5	443.5413	0.0	1.2651	0.205839	False	R+	0.645072	False
Corynebacterium	2	cohort1,cohort2	-0.044368	0.03551	-0.113968	0.025232	0.002507	99.4	173.8914	0.0	-1.2495	0.211499	True	NR+	0.645072	False
Cohcovirus	2	cohort1,cohort2	0.06114	0.052029	-0.040837	0.163117	0.005379	99.4	154.6843	0.0	1.1751	0.239948	True	R+	0.675988	False
Enterobacter	3	cohort1,cohort2,cohort3	0.072336	0.062062	-0.049306	0.193978	0.011542	99.9	1804.4806	0.0	1.1655	0.243799	False	R+	0.675988	False
Schaalia	2	cohort1,cohort3	-0.093809	0.084504	-0.259438	0.071819	0.014264	99.9	794.8991	0.0	-1.1101	0.266951	True	NR+	0.677906	False
Escherichia	3	cohort1,cohort2,cohort3	0.051219	0.046591	-0.040099	0.142536	0.006496	99.8	877.5732	0.0	1.0993	0.27162	False	R+	0.677906	False
Adlercreutzia	3	cohort1,cohort2,cohort3	-0.111917	0.104804	-0.317334	0.0935	0.032936	100.0	4544.9701	0.0	-1.0679	0.285581	False	NR+	0.677906	False
Turicibacter	2	cohort1,cohort2	-0.087633	0.084705	-0.253654	0.078388	0.014336	99.9	1019.9678	0.0	-1.0346	0.30087	True	NR+	0.677906	False
Oxalobacter	2	cohort1,cohort2	0.021462	0.020898	-0.019498	0.062422	0.000816	93.0	14.3733	0.0001	1.027	0.304427	True	R+	0.677906	False
Collinsella	3	cohort1,cohort2,cohort3	-0.021281	0.021012	-0.062465	0.019904	0.001311	99.0	195.5693	0.0	-1.0128	0.31117	False	NR+	0.677906	False
Campylobacter	3	cohort1,cohort2,cohort3	-0.057293	0.058385	-0.171728	0.057143	0.010191	99.8	1071.5549	0.0	-0.9813	0.326454	False	NR+	0.686679	False
Odoribacter	3	cohort1,cohort2,cohort3	0.013747	0.015068	-0.015786	0.043279	0.000668	98.4	126.7039	0.0	0.9123	0.361585	False	R+	0.733041	False
Solibaculum	3	cohort1,cohort2,cohort3	0.052975	0.060597	-0.065794	0.171744	0.010994	99.8	1241.625	0.0	0.8742	0.381996	False	R+	0.733041	False
Acidaminococcus	2	cohort1,cohort3	0.064501	0.07433	-0.081185	0.210187	0.011022	99.7	390.5794	0.0	0.8678	0.385523	False	R+	0.733041	False
Desulfovibrio	3	cohort1,cohort2,cohort3	0.031858	0.037782	-0.042194	0.10591	0.004259	99.5	373.6228	0.0	0.8432	0.39911	False	R+	0.733041	False
Lactobacillus	2	cohort1,cohort2	0.087823	0.106273	-0.120471	0.296118	0.022576	99.9	1926.2579	0.0	0.8264	0.40858	False	R+	0.733041	False
Veillonella	3	cohort1,cohort2,cohort3	-0.041684	0.053738	-0.147011	0.063644	0.008643	99.8	847.6261	0.0	-0.7757	0.437939	False	NR+	0.763265	False
Christensenella	3	cohort1,cohort2,cohort3	0.052831	0.074055	-0.092317	0.19798	0.016438	99.9	2604.7649	0.0	0.7134	0.475596	False	R+	0.786809	False
Staphylococcus	2	cohort1,cohort2	0.028859	0.041485	-0.052451	0.11017	0.003427	99.6	232.6905	0.0	0.6957	0.486644	False	R+	0.786809	False
Lactococcus	2	cohort1,cohort3	0.065989	0.098063	-0.126215	0.258193	0.019209	99.9	803.1268	0.0	0.6729	0.500996	False	R+	0.786809	False
Rothia	2	cohort1,cohort2	0.014548	0.021723	-0.028029	0.057125	0.000931	98.7	75.7111	0.0	0.6697	0.503042	False	R+	0.786809	False
Wansuia	2	cohort2,cohort3	-0.032084	0.053696	-0.137329	0.073161	0.005751	99.7	367.0872	0.0	-0.5975	0.550166	False	NR+	0.811753	False
